brandName,genericName,composition,strength,dosageForm,manufacturer,category,barcode,purchasePricePaisa,sellingPricePaisa,mrpPaisa,vatPercent,reorderLevel,requiresPrescription,scheduleCategory
"RITEOCEFF 200MG","Unknown","","200MG","Tablet","","General","","0","2000","2000","13","10","false","OTC"
"SUGAMETRIX INJ","Unknown","","","Injection","","General","","0","137088","137088","13","10","false","OTC"
"CAMPRO POWDER","Unknown","","","POWDER","","General","","0","185600","185600","13","10","false","OTC"
"GRON MD","Unknown","","","Tablet","","General","","0","1201","1201","13","10","false","OTC"
"HEPAAID","Unknown","","","Tablet","","General","","0","7680","7680","13","10","false","OTC"
"PETER INJ","Unknown","","","Injection","","General","","0","11000","11000","13","10","false","OTC"
"BRIVATAM INJ","Unknown","","","Injection","","General","","0","23401","23401","13","10","false","OTC"
"NEOTEAR EYE","Unknown","","","Tablet","","General","","0","20000","20000","13","10","false","OTC"
"NEOTEAR MAX EYE","Unknown","","","Tablet","","General","","0","24999","24999","13","10","false","OTC"
"PRUPRIDE-1MG","Unknown","","1MG","Tablet","","General","","0","2500","2500","13","10","false","OTC"
"ENTECA-B 0.5","Unknown","","0.5","Tablet","","General","","0","7001","7001","13","10","false","OTC"
"OZAPINE 2.5MG","Unknown","","2.5MG","Tablet","","General","","0","400","400","13","10","false","OTC"
"OZAPINE 2.5MG","Unknown","","2.5MG","Tablet","","General","","0","601","601","13","10","false","OTC"
"CURAWAY GUN","Unknown","","","Tablet","","General","","0","870000","870000","13","10","false","OTC"
"ACCURAN GOWN","Unknown","","","Tablet","","General","","0","75000","75000","13","10","false","OTC"
"SICANUMB GEL","Unknown","","","GEL","","General","","0","0","0","13","10","false","OTC"
"PREGATIVE 150MG","Unknown","","150MG","Tablet","","General","","0","2201","2201","13","10","false","OTC"
"MUSTCAL XT","Unknown","","","Tablet","","General","","0","3840","3840","13","10","false","OTC"
"TIROTUM INJ","Unknown","","","Injection","","General","","0","37439","37439","13","10","false","OTC"
"LUMENT Q","Unknown","","","Tablet","","General","","0","8001","8001","13","10","false","OTC"
"FAMO40","Unknown","","","Tablet","","General","","0","201","201","13","10","false","OTC"
"METHOSPAL -L 1000","Unknown","","1000","Tablet","","General","","0","117216","117216","13","10","false","OTC"
"MADMAX","Unknown","","","Tablet","","General","","0","136532","136532","13","10","false","OTC"
"LEEPMED BIOSPY GUN","Unknown","","","Tablet","","General","","0","754000","754000","13","10","false","OTC"
"BMG GOWN","Unknown","","","Tablet","","General","","0","149500","149500","13","10","false","OTC"
"TRUPOLY GLOVES","Unknown","","","Tablet","","General","","0","11000","11000","13","10","false","OTC"
"BMGPLAST","Unknown","","","Tablet","","General","","0","55000","55000","13","10","false","OTC"
"AEON 2K","Unknown","","","Tablet","","General","","0","3508","3508","13","10","false","OTC"
"EVEFRESH","Unknown","","","Tablet","","General","","0","36000","36000","13","10","false","OTC"
"DEXANOL-320","Unknown","","320","Tablet","","General","","0","480008","480008","13","10","false","OTC"
"POLYDREM","Unknown","","","Tablet","","General","","0","11003","11003","13","10","false","OTC"
"VOPRA 10MG","Unknown","","10MG","Tablet","","General","","0","1500","1500","13","10","false","OTC"
"VOPRA 20MG","Unknown","","20MG","Tablet","","General","","0","2800","2800","13","10","false","OTC"
"UROMED SILICONE","Unknown","","","Tablet","","General","","0","631777","631777","13","10","false","OTC"
"MICOVA","Unknown","","","Tablet","","General","","0","4791","4791","13","10","false","OTC"
"WOUND PROTECTOR","Unknown","","","Tablet","","General","","0","0","0","13","10","false","OTC"
"PLASMAX 500ML","Unknown","","500ML","Tablet","","General","","0","23500","23500","13","10","false","OTC"
"TOFACURE 5MG","Unknown","","5MG","Tablet","","General","","0","5500","5500","13","10","false","OTC"
"DRIFT-30","Unknown","","30","Tablet","","General","","0","288028","288028","13","10","false","OTC"
"ROCUKAM INJ","Unknown","","","Injection","","General","","0","145000","145000","13","10","false","OTC"
"TUMOUR MARKER WELL","Unknown","","","Tablet","","General","","0","0","0","13","10","false","OTC"
"CTIME","Unknown","","","Tablet","","General","","0","115200","115200","13","10","false","OTC"
"NEOLIFE CRAPE","Unknown","","","Tablet","","General","","0","34239","34239","13","10","false","OTC"
"NEOPLAST","Unknown","","","Tablet","","General","","0","75000","75000","13","10","false","OTC"
"MACROPORUS MESH 30X30","Unknown","","","Tablet","","General","","0","1579776","1579776","13","10","false","OTC"
"ANCUMIN 500MG","Unknown","","500MG","Tablet","","General","","0","9036","9036","13","10","false","OTC"
"LIPOMIN","Unknown","","","Tablet","","General","","0","144000","144000","13","10","false","OTC"
